Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
Breaking Bad,2008,9.5,96,True,False,False,False
Stranger Things,2016,8.8,93,True,False,False,False
Money Heist,2017,8.4,91,True,False,False,False
Sherlock,2010,9.1,78,True,False,False,False
Better Call Saul,2015,8.7,97,True,False,False,False
The Office,2005,8.9,81,True,False,False,False
Black Mirror,2011,8.8,83,True,False,False,False
Supernatural,2005,8.4,93,True,False,False,False
Peaky Blinders,2013,8.8,92,True,False,False,False
Avatar: The Last Airbender,2005,9.2,100,True,False,False,False
The Walking Dead,2010,8.2,81,True,False,False,False
Dark,2017,8.7,94,True,False,False,False
Ozark,2017,8.4,81,True,False,False,False
Attack on Titan,2013,8.8,94,True,True,False,False
Narcos,2015,8.8,89,True,False,False,False
Fullmetal Alchemist: Brotherhood,2009,9.1,100,True,True,False,False
Community,2009,8.5,88,True,True,False,False
Mindhunter,2017,8.6,96,True,False,False,False
Parks and Recreation,2009,8.6,93,True,True,True,False
Dexter,2006,8.6,72,True,False,False,False
Marvel's Daredevil,2015,8.6,92,True,False,False,False
The Witcher,2019,8.3,67,True,False,False,False
Twin Peaks,1990,8.8,89,True,True,False,False
One-Punch Man,2015,8.8,100,True,True,False,False
Outlander,2014,8.4,91,True,False,False,False
House of Cards,2013,8.7,78,True,False,False,False
Shameless,2011,8.6,85,True,False,False,False
The Good Place,2016,8.2,97,True,True,False,False
The Haunting,2018,8.7,93,True,False,False,False
The Blacklist,2013,8.0,91,True,False,False,False
The Flash,2014,7.7,89,True,False,False,False
The Last Kingdom,2015,8.4,91,True,False,False,False
Mad Men,2007,8.6,94,True,False,False,False
Lucifer,2016,8.2,87,True,False,False,False
Orange Is the New Black,2013,8.1,90,True,False,False,False
Grey's Anatomy,2005,7.6,83,True,True,False,False
The End of the F***ing World,2017,8.1,93,True,False,False,False
Arrested Development,2003,8.7,75,True,True,False,False
The Vampire Diaries,2009,7.7,85,True,False,False,False
The Crown,2016,8.7,89,True,False,False,False
The 100,2014,7.7,92,True,False,False,False
When They See Us,2019,8.9,96,True,False,False,False
How to Get Away with Murder,2014,8.1,88,True,True,False,False
After Life,2019,8.5,70,True,False,False,False
Elite,2018,7.6,97,True,False,False,False
BoJack Horseman,2014,8.7,93,True,False,False,False
Never Have I Ever,2020,8.0,97,True,False,False,False
Penny Dreadful,2014,8.2,91,True,False,False,False
Marvel's Agents of S.H.I.E.L.D.,2013,7.5,94,True,False,False,False
Dead to Me,2019,8.1,91,True,False,False,False
Unorthodox,2020,8.1,94,True,False,False,False
Sense8,2015,8.3,86,True,False,False,False
Sacred Games,2018,8.7,92,True,False,False,False
American Crime Story,2016,8.4,93,True,False,False,False
Family Guy,1999,8.1,71,True,True,False,False
Pretty Little Liars,2010,7.4,81,True,True,False,False
Unbelievable,2019,8.4,97,True,False,False,False
Arrow,2012,7.6,85,True,False,False,False
The IT Crowd,2006,8.5,87,True,False,False,False
The Twilight Zone,1959,9.0,82,True,True,False,False
YOU,2018,7.8,91,True,False,False,False
Sex Education,2019,8.3,94,True,False,False,False
"Tiger King: Murder, Mayhem and Madness",2020,7.8,86,True,False,False,False
Star Trek: The Next Generation,1987,8.6,89,True,True,True,False
Broadchurch,2013,8.4,92,True,False,False,False
Kingdom,2019,8.4,96,True,False,False,False
Altered Carbon,2018,8.1,64,True,False,False,False
The Sinner,2017,8.0,95,True,False,False,False
"Love, Death & Robots",2019,8.5,78,True,False,False,False
Marvel's Jessica Jones,2015,8.0,83,True,False,False,False
New Girl,2011,7.7,94,True,False,False,False
The Good Wife,2009,8.3,94,True,True,True,False
The Umbrella Academy,2019,7.9,77,True,False,False,False
Marvel's The Punisher,2017,8.5,63,True,False,False,False
Ash vs Evil Dead,2015,8.4,99,True,False,False,False
Master of None,2015,8.3,100,True,False,False,False
Bodyguard,2018,8.1,93,True,False,False,False
Schitt's Creek,2015,8.4,50,True,False,True,False
Narcos: Mexico,2018,8.4,88,True,False,False,False
The West Wing,1999,8.8,75,True,False,False,False
Bates Motel,2013,8.2,93,True,False,False,False
Atypical,2017,8.3,87,True,False,False,False
Once Upon a Time,2011,7.7,80,True,False,False,False
Gomorrah,2014,8.7,94,True,False,False,False
Making a Murderer,2015,8.6,84,True,False,False,False
Death Note,2006,9.0,0,True,True,False,False
